DATA=Galaxy 11_sm
GALAXY_SEED=-982283763
+SYS_1781719530|SEED=-1879276316:NAME=Socrates
+OBJ_1582929175|P=SYS_1781719530:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=108:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2352941:DMAX=0.5294118:SEED_C=2052407308:SEED_D=-1879276316:NAME=Bodad
+OBJ_272807784|P=SYS_1781719530:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=11:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2352941:DMAX=0.5294118:SEED_C=1111659521:SEED_D=801340714:NAME=Varied Coronet
+OBJ_2077628588|P=SYS_1781719530:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=41:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.2352941:DMAX=0.5294118:SEED_C=1416919272:SEED_D=-725994993:NAME=Haugastl
+OBJ_158278483|P=SYS_1781719530:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=20:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.2352941:DMAX=0.5294118:SEED_C=1112406896:SEED_D=-1281872570:NAME=Berners-Lee
+OBJ_995125494|P=SYS_1781719530:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=32:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.2352941:DMAX=0.5294118:SEED_C=143827523:SEED_D=216993269:NAME=Felicitation
+OBJ_437109952|P=SYS_1781719530:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=40:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.2352941:DMAX=0.5294118:SEED_C=-1717796297:SEED_D=1748107358:NAME=Casius
+OBJ_1059926698|P=SYS_1781719530:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=26:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.2352941:DMAX=0.5294118:SEED_C=-1691906270:SEED_D=-1999589696:NAME=Chitrakoota
+OBJ_390357511|P=SYS_1781719530:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=34:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.2352941:DMAX=0.5294118:SEED_C=1017123205:SEED_D=-1958619657:NAME=Heathrow
+SYS_1195747142|SEED=-1879245046:NAME=Auxentios
+OBJ_216340561|P=SYS_1195747142:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=15:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2509804:DMAX=0.5647059:SEED_C=1900573112:SEED_D=-1879245046:NAME=Titanbane
+OBJ_1391519833|P=SYS_1195747142:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=43:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.2509804:DMAX=0.5647059:SEED_C=437914151:SEED_D=-1507092989:NAME=Batrachian
+OBJ_876350942|P=SYS_1195747142:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=36:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.2509804:DMAX=0.5647059:SEED_C=880896253:SEED_D=-865521603:NAME=Orbiter
+OBJ_346689654|P=SYS_1195747142:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=33:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.2509804:DMAX=0.5647059:SEED_C=1176935201:SEED_D=-264233180:NAME=Kishkindha
+OBJ_1913597112|P=SYS_1195747142:DTYPE=4:DEFNAME=Trading Post:DMIN=0.2509804:DMAX=0.5647059:SEED_C=2037891788:SEED_D=-2083717364
+OBJ_546424040|P=SYS_1195747142:DTYPE=4:DEFNAME=Trading Post:DMIN=0.2509804:DMAX=0.5647059:SEED_C=-1298125177:SEED_D=811956635
+SYS_1006467211|SEED=-1879226476:NAME=Meva Serp
+OBJ_1344175151|P=SYS_1006467211:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=97:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5921569:DMAX=0.9137255:SEED_C=-2116549044:SEED_D=-1879226476:NAME=The Long Run
+OBJ_181528542|P=SYS_1006467211:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=46:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5921569:DMAX=0.9137255:SEED_C=243414043:SEED_D=-1145503294:NAME=Deemer
+OBJ_1475334898|P=SYS_1006467211:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=19:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5921569:DMAX=0.9137255:SEED_C=1564554566:SEED_D=1715883357:NAME=Andrews
+OBJ_1927872231|P=SYS_1006467211:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=0:DMIN=0.5921569:DMAX=0.9137255:SEED_C=-964309347:SEED_D=1696736983:NAME=Outram
+OBJ_1109055626|P=SYS_1006467211:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=3:DMIN=0.5921569:DMAX=0.9137255:SEED_C=-592719257:SEED_D=809758673:NAME=Fletcher
+OBJ_1556133739|P=SYS_1006467211:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=0:DMIN=0.5921569:DMAX=0.9137255:SEED_C=-24991968:SEED_D=1415195554:NAME=Kingston
+SYS_54391692|SEED=-1879206256:NAME=Figuera
+OBJ_1302465133|P=SYS_54391692:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=35:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.6941177:DMAX=0.9960784:SEED_C=947244785:SEED_D=-1879206256:NAME=Rapier
+OBJ_544886607|P=SYS_54391692:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=132:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.6941177:DMAX=0.9960784:SEED_C=-670087433:SEED_D=-1474643829:NAME=Pyderi
+OBJ_280825681|P=SYS_54391692:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=13:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.6941177:DMAX=0.9960784:SEED_C=-1211597314:SEED_D=-382295707:NAME=Jacobs
