DATA=Galaxy 10_sm
GALAXY_SEED=1967446378
+SYS_814077354|SEED=-1880287036:NAME=Martold
+OBJ_1543734143|P=SYS_814077354:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=42:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.4509804:DMAX=0.772549:SEED_C=1247787004:SEED_D=-1880287036:NAME=Gnomon
+OBJ_664927787|P=SYS_814077354:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=4:DMIN=0.4509804:DMAX=0.772549:SEED_C=-1653365969:SEED_D=-113044549:NAME=Rock's Strength
+OBJ_1649957491|P=SYS_814077354:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=4:DMIN=0.4509804:DMAX=0.772549:SEED_C=1820800112:SEED_D=162641088:NAME=Boreum
+OBJ_79775730|P=SYS_814077354:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=3:DMIN=0.4509804:DMAX=0.772549:SEED_C=383279183:SEED_D=-1321126291:NAME=Yorktown
+OBJ_1794316702|P=SYS_814077354:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=4:DMIN=0.4509804:DMAX=0.772549:SEED_C=-534562344:SEED_D=-634678860:NAME=Darwin
+OBJ_890165165|P=SYS_814077354:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=2:DMIN=0.4509804:DMAX=0.772549:SEED_C=793480197:SEED_D=-597947731:NAME=Harris
+OBJ_1232455494|P=SYS_814077354:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=4:DMIN=0.4509804:DMAX=0.772549:SEED_C=-2127397455:SEED_D=-1759498578:NAME=Porras
+OBJ_822353521|P=SYS_814077354:DTYPE=4:DEFNAME=Trading Post:DMIN=0.4509804:DMAX=0.772549:SEED_C=1831693553:SEED_D=88986784
+SYS_1513946152|SEED=-1880226086:NAME=Jugundia
+OBJ_445159672|P=SYS_1513946152:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=93:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.282353:DMAX=0.5921569:SEED_C=-1813078008:SEED_D=-1880226086:NAME=Chronoscope
+OBJ_1269166130|P=SYS_1513946152:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=32:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.282353:DMAX=0.5921569:SEED_C=-319336958:SEED_D=-1704624842:NAME=Graven Huck
+OBJ_1840142532|P=SYS_1513946152:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=23:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.282353:DMAX=0.5921569:SEED_C=302617658:SEED_D=-287858366:NAME=Sargon
+OBJ_428528851|P=SYS_1513946152:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=36:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.282353:DMAX=0.5921569:SEED_C=364393169:SEED_D=-548561981:NAME=Attic
