DATA=Galaxy 9_sm_f
GALAXY_SEED=1104599605
+SYS_1004758724|SEED=-1872285466:NAME=Kornarion
+OBJ_1064488525|P=SYS_1004758724:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=83:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1291481589:SEED_D=-1872285466:NAME=Dekanawida
+OBJ_542654910|P=SYS_1004758724:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=31:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-132013926:SEED_D=387063793:NAME=Lazarus
+OBJ_1637176367|P=SYS_1004758724:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=28:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1740836186:SEED_D=-469938897:NAME=Wapiti
+OBJ_884678587|P=SYS_1004758724:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=98:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1101304313:SEED_D=-810378222:NAME=Inky Skipper
+OBJ_244025742|P=SYS_1004758724:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=38:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1764187999:SEED_D=1840722299:NAME=Tataka
+OBJ_1912835614|P=SYS_1004758724:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=25:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1788120374:SEED_D=1533350897:NAME=Shetland
+OBJ_1985377318|P=SYS_1004758724:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=1659008532:SEED_D=-1179651124
+OBJ_1010653600|P=SYS_1004758724:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=1610146854:SEED_D=-319335788
+SYS_119284051|SEED=-1872266666:NAME=Morning
+OBJ_753820549|P=SYS_119284051:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=102:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1356898175:SEED_D=-1872266666:NAME=Pujak
+OBJ_483836627|P=SYS_119284051:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=14:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1708127699:SEED_D=3389731:NAME=False Ringlet
+OBJ_702924959|P=SYS_119284051:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=53:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=120146067:SEED_D=648348394:NAME=Emerson
+OBJ_938274249|P=SYS_119284051:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=143:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-490121352:SEED_D=1038775785:NAME=Heimdall
+OBJ_1439813982|P=SYS_119284051:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=37:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=872341308:SEED_D=173004268:NAME=Intrepid
+OBJ_1229825812|P=SYS_119284051:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=14:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-304755364:SEED_D=-420676875:NAME=Montgolfier
+OBJ_1197237397|P=SYS_119284051:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=338232074:SEED_D=1455132181
+OBJ_24179479|P=SYS_119284051:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=-1139344477:SEED_D=-1859771104
+SYS_1429478021|SEED=-1872245706:NAME=Morbius
+OBJ_5376760|P=SYS_1429478021:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=111:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1030553301:SEED_D=-1872245706:NAME=Dark Diamond
+OBJ_1446714665|P=SYS_1429478021:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=141:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1425706050:SEED_D=-137511078:NAME=Grace Hopper
+OBJ_1076262792|P=SYS_1429478021:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=40:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1059408579:SEED_D=-1375059081:NAME=Perses
+OBJ_1725420973|P=SYS_1429478021:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=44:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1958468802:SEED_D=75207420:NAME=Garden Tiger
+OBJ_1170807131|P=SYS_1429478021:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=35:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=626572150:SEED_D=-429865398:NAME=Drop Bear
+OBJ_2096474270|P=SYS_1429478021:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=133:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-4759086:SEED_D=-1889055748:NAME=Serafina
+OBJ_994865933|P=SYS_1429478021:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=994386068:SEED_D=-313709463
+OBJ_362197299|P=SYS_1429478021:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=-443197015:SEED_D=-41215324
+SYS_1299291867|SEED=-1872224416:NAME=Murgoth
+OBJ_741010969|P=SYS_1299291867:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=C:MAX_SCRAP=25:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1111022296:SEED_D=-1872224416:NAME=Contessa:AI=1
+OBJ_433687|P=SYS_1299291867:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=40:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1535110179:SEED_D=1519604714:NAME=Ambrosius
+OBJ_1163213999|P=SYS_1299291867:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=92:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-483374175:SEED_D=1563567838:NAME=Baba Yaga
+OBJ_2057839561|P=SYS_1299291867:DTYPE=1:DEFNAME=Private:DEFCLASS=B:MAX_SCRAP=29:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1779241605:SEED_D=-1951073269:NAME=Demeter
+OBJ_1360935578|P=SYS_1299291867:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=34:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=129858560:SEED_D=989656231:NAME=Gone Wicked
+OBJ_1051883317|P=SYS_1299291867:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=11:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1781875293:SEED_D=-599342832:NAME=Takeero
+OBJ_1008161977|P=SYS_1299291867:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=-1787504657:SEED_D=-832130285
+OBJ_1720145678|P=SYS_1299291867:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=1869157189:SEED_D=1767923647
+SYS_599965234|SEED=-1872195326:NAME=Ongar
